지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1991-01-07 09:00,.5,0
90,속초,1991-01-07 12:00,1.4,0
90,속초,1991-01-07 15:00,3.3,0
90,속초,1991-01-17 00:00,.8,0
90,속초,1991-01-17 03:00,.3,0
90,속초,1991-01-21 15:00,.3,0
90,속초,1991-01-21 18:00,2.4,0
90,속초,1991-01-21 21:00,.9,0
90,속초,1991-01-22 00:00,.5,0
90,속초,1991-01-22 03:00,.5,0
90,속초,1991-01-22 06:00,.2,0
90,속초,1991-01-22 09:00,0,0
90,속초,1991-01-22 12:00,1.1,0
90,속초,1991-01-22 15:00,2,0
90,속초,1991-01-22 18:00,.4,0
90,속초,1991-01-22 21:00,.3,0
90,속초,1991-01-23 00:00,.3,0
90,속초,1991-01-23 03:00,.5,0
90,속초,1991-01-23 06:00,.8,0
90,속초,1991-01-23 09:00,.1,0
90,속초,1991-01-24 18:00,.4,0
90,속초,1991-01-24 21:00,.1,0
90,속초,1991-01-27 18:00,.4,0
90,속초,1991-01-27 21:00,.7,0
90,속초,1991-02-01 12:00,.2,0
90,속초,1991-02-01 15:00,.8,0
90,속초,1991-02-01 18:00,0,0
90,속초,1991-02-07 18:00,0,0
90,속초,1991-02-07 21:00,.5,0
90,속초,1991-02-08 00:00,.9,0
90,속초,1991-02-10 03:00,1.9,0
90,속초,1991-02-10 06:00,2.6,0
90,속초,1991-02-10 09:00,1.6,0
90,속초,1991-02-10 12:00,.6,0
90,속초,1991-02-10 15:00,.4,0
90,속초,1991-02-10 18:00,.2,0
90,속초,1991-02-10 21:00,0,0
90,속초,1991-02-15 00:00,.2,0
90,속초,1991-02-15 03:00,.8,0
90,속초,1991-02-15 06:00,.9,0
90,속초,1991-02-15 09:00,2.2,0
90,속초,1991-02-15 12:00,4.8,0
90,속초,1991-02-15 15:00,3.2,0
90,속초,1991-02-15 18:00,1.7,0
90,속초,1991-02-15 21:00,1.4,0
90,속초,1991-02-16 00:00,.4,0
90,속초,1991-02-16 09:00,0,0
90,속초,1991-02-27 21:00,0,0
90,속초,1991-02-28 00:00,0,0
